,treeDecision_regresion_m
0,28.6207984294
1,9.96802480982
2,-2.9723399340599994
3,4.83190019304
4,-2.9723399340599994
5,1.4084641972999998
6,8.60347678021
7,-14.2293166358
8,25.498012594699997
9,28.6874628284
10,10.4894274381
11,28.926416064899996
12,16.9220612273
13,9.05229662606
14,30.795575070300004
15,2.05967281784
16,14.0607268924
17,9.135112269450001
18,17.9565903319
19,14.8054825835
20,29.6439594592
21,7.47480639704
22,16.2542730152
23,30.0827704508
24,17.9565903319
25,2.35822837646
26,20.6021191956
27,14.6123543672
28,2.60971242716
29,11.6890963432
30,30.795575070300004
31,9.135112269450001
32,16.9220612273
33,2.35822837646
34,17.7980444673
35,4.40271419289
36,15.1105214608
37,-2.9723399340599994
38,13.9708687127
39,12.0121847037
40,16.2542730152
41,18.5706016705
42,16.2657232572
43,1.47540007287
44,8.498239009739999
45,2.35822837646
46,16.9220612273
47,16.2657232572
48,-2.9723399340599994
49,4.09194113858
50,12.7718658911
51,18.630124407
52,16.3141156338
53,25.498012594699997
54,2.35822837646
55,8.6286797532
56,16.2542730152
57,30.795575070300004
58,12.0783451434
59,-14.2293166358
60,13.9708687127
61,12.0121847037
62,28.6874628284
63,2.35822837646
64,14.8054825835
65,19.280516573699998
66,30.0827704508
67,14.8054825835
68,16.5356611586
69,10.2874957408
70,25.9024274746
71,-14.2293166358
72,4.40271419289
73,7.37879533145
74,-8.37356895607
75,18.630124407
76,2.35822837646
77,17.9565903319
78,28.6207984294
79,7.339267290639999
80,28.6874628284
81,18.630124407
82,18.5799221253
83,29.6439594592
84,26.040828832600003
85,16.8472664904
86,9.135112269450001
87,14.2243293904
88,6.56496691174
89,11.1691713926
90,15.253265942999999
91,15.657950183399999
92,14.8054825835
93,4.02084989982
94,2.35822837646
95,17.9565903319
96,14.7428188621
97,22.2393113759
98,19.280516573699998
99,21.6227189525
100,-2.4064317017900003
101,-2.4064317017900003
102,4.02084989982
103,25.3856437819
104,18.630124407
105,20.6021191956
106,8.6286797532
107,6.9662201045600005
108,12.2925025009
109,29.6439594592
110,18.630124407
111,4.04391503991
112,-2.4064317017900003
113,29.5742243163
114,16.9220612273
115,17.9565903319
116,22.2393113759
117,4.09194113858
118,2.35822837646
119,16.073091353
120,4.40271419289
121,15.1563798162
122,15.1105214608
123,4.40271419289
124,8.6286797532
125,12.0121847037
126,4.02084989982
127,13.4512111246
128,18.5706016705
129,22.2393113759
130,12.0121847037
131,7.37879533145
132,24.1119368079
133,18.630124407
134,9.20506357229
135,-5.68973173486
136,14.8054825835
137,10.2184138522
138,18.630124407
139,17.0419298008
140,28.926416064899996
141,12.0783451434
142,4.09194113858
143,4.09194113858
144,7.3506681383500005
145,4.40271419289
146,7.47480639704
147,5.48830556015
148,2.60971242716
149,7.03294575536
150,2.35822837646
151,7.339267290639999
152,14.761835487899999
153,15.797237351300002
154,21.6227189525
155,13.9299199669
156,21.758800879299997
157,4.09194113858
158,28.6207984294
159,8.6286797532
160,8.6286797532
161,24.567334830300002
162,4.40271419289
163,4.40271419289
164,28.6874628284
165,-0.980214906591
166,4.83190019304
167,24.1119368079
168,16.2542730152
169,15.846202825799999
170,15.657950183399999
171,28.6207984294
172,31.4334765213
173,8.6286797532
174,9.96802480982
175,2.4205114541
176,-5.68973173486
177,10.2874957408
178,18.630124407
179,15.1105214608
180,12.2925025009
181,9.96802480982
182,10.1692600762
183,-7.43967566372
184,26.040828832600003
185,10.2184138522
186,20.6021191956
187,1.47540007287
188,7.339267290639999
189,10.2184138522
190,10.2184138522
191,15.657950183399999
192,11.255679658399998
193,11.6890963432
194,18.630124407
195,4.40271419289
196,18.630124407
197,30.0827704508
198,31.413172563699998
199,30.0827704508
200,8.6286797532
201,19.280516573699998
202,16.8472664904
203,3.4831580540300005
204,16.2542730152
205,7.339267290639999
206,8.6286797532
207,4.40271419289
208,18.630124407
209,14.8054825835
210,13.9708687127
211,8.60347678021
212,18.5706016705
213,4.02084989982
214,12.0121847037
215,1.7853948423599997
216,19.280516573699998
217,21.6227189525
218,10.2874957408
219,2.60971242716
220,15.1563798162
221,24.1119368079
222,9.96802480982
223,17.0419298008
224,4.02084989982
225,13.9708687127
226,26.573902812100002
227,9.135112269450001
228,4.77525915591
229,9.96802480982
230,9.96541904016
231,12.7718658911
232,16.2542730152
233,7.044976300499999
234,13.9299199669
235,2.35822837646
236,18.630124407
237,18.5799221253
238,31.4334765213
239,12.7718658911
240,2.35822837646
241,9.135112269450001
242,28.6874628284
243,27.033915140799998
244,17.9565903319
245,26.040828832600003
246,19.280516573699998
247,4.83190019304
248,19.280516573699998
249,1.4084641972999998
250,-6.39949111999
251,2.60971242716
252,14.309784764200002
253,4.40271419289
254,26.040828832600003
255,-2.4064317017900003
256,31.413172563699998
257,26.040828832600003
258,17.0419298008
259,19.280516573699998
260,19.280516573699998
261,19.280516573699998
262,20.297000882
263,4.5408450693199995
264,25.3856437819
265,9.135112269450001
266,9.135112269450001
267,-8.37356895607
268,14.8054825835
269,1.47540007287
270,10.2184138522
271,10.2874957408
272,-5.68973173486
273,8.6286797532
274,19.3039576102
275,5.40459980887
276,30.9059484898
277,18.7763373658
278,4.02084989982
279,2.05967281784
280,8.6286797532
281,7.03294575536
282,18.630124407
283,-8.37356895607
284,24.2684161367
285,28.6207984294
286,2.35822837646
287,18.630124407
288,15.797237351300002
289,16.8472664904
290,10.2874957408
291,1.47540007287
292,8.6286797532
293,17.0419298008
294,30.0827704508
295,25.4492859502
296,19.280516573699998
297,17.0419298008
298,29.5742243163
299,7.044976300499999
