,treeDecision_regresion_m
0,59.795116986400004
1,4.392798401113333
2,3.85348361448
3,8.85619568594
4,-2.54446591468
5,4.31345752756
6,-8.92871567532
7,-11.6571612176
8,27.660247297399998
9,36.7512405863
10,11.7643260341
11,24.622898457199998
12,24.622898457199998
13,8.85619568594
14,38.1712477806
15,-2.54446591468
16,12.288131184463635
17,6.081264690209999
18,20.4300194347
19,18.60997516369167
20,16.6641625981
21,-14.424731123280955
22,26.4919225498
23,45.2584928259
24,45.6586178816
25,-10.122351435159999
26,36.878368682600005
27,30.380197603200003
28,1.4163040695299998
29,15.2700157027
30,41.657956394
31,13.4311107953
32,33.4639989704
33,-3.443704294885
34,24.0659195584
35,-23.3285980444
36,8.6189996864265
37,-2.54446591468
38,26.4919225498
39,16.2542730152
40,40.1243334709
41,10.371275831808335
42,38.095151199600004
43,-6.68159132468
44,13.6645120552
45,-14.424731123280955
46,34.4327453533
47,34.8773139656
48,-2.54446591468
49,10.6187662049
50,15.750800357366666
51,47.1520194968
52,18.60997516369167
53,24.1436776495
54,-4.53428776917
55,9.382803858018999
56,20.4569890461
57,51.379224111899994
58,10.312463132845
59,-2.93574968872
60,18.2261224989
61,26.8262713514
62,22.8176807623
63,-1.7610301582299999
64,18.60997516369167
65,13.465828878727272
66,43.81164538
67,14.83304914524
68,16.8530378635
69,13.7040458822
70,45.840577397299995
71,-13.527877176099999
72,-2.26644534373
73,3.28720151519
74,-13.527877176099999
75,35.7365779482
76,-19.0927979545
77,45.924287784899995
78,47.2420824768
79,19.3039576102
80,41.4768132039
81,38.095151199600004
82,13.465828878727272
83,45.4000124825
84,48.9166960847
85,24.1192485688
86,6.67191935024875
87,1.4084641972999998
88,-6.1421937926600005
89,35.2200238252
90,12.288131184463635
91,18.2521212555
92,18.60997516369167
93,3.6989408239099997
94,-2.27810665904
95,33.45021206836667
96,13.465828878727272
97,33.45021206836667
98,16.8530378635
99,21.82802441011667
100,-12.4075683652
101,-14.424731123280955
102,-14.424731123280955
103,27.660247297399998
104,43.779141656099995
105,45.840577397299995
106,11.24379200156
107,8.85619568594
108,8.6189996864265
109,42.226299025900005
110,47.1520194968
111,6.78192178954
112,-17.5729798695
113,71.9769926472
114,46.282920796599996
115,25.7483997923
116,35.6705083452
117,6.67191935024875
118,-10.3660768644
119,15.83231308753333
120,-24.5360397342
121,15.83231308753333
122,14.35748217895
123,-24.5360397342
124,13.1800410992
125,35.2200238252
126,-8.025100920169999
127,18.2521212555
128,21.82802441011667
129,38.2162034767
130,32.57843836793334
131,12.6488351956
132,26.573902812100002
133,47.5226324541
134,-14.424731123280955
135,-18.6061400505
136,18.60997516369167
137,-14.424731123280955
138,30.8321840386
139,30.9059484898
140,35.9457688435
141,10.312463132845
142,8.8528363748075
143,8.19635860639
144,3.28720151519
145,-19.7174877247
146,7.47480639704
147,10.371275831808335
148,-14.424731123280955
149,4.392798401113333
150,-4.53428776917
151,16.3826083441
152,15.2952014917
153,36.7512405863
154,17.5524235766
155,43.7004745813
156,25.312835011
157,-2.54446591468
158,31.28353823
159,9.382803858018999
160,5.40459980887
161,42.977697038900004
162,-23.2121934832
163,3.6989408239099997
164,33.9822813993
165,6.56496691174
166,8.6189996864265
167,42.977697038900004
168,18.528621106
169,15.83231308753333
170,21.82802441011667
171,57.7656289713
172,36.511273328499996
173,13.1800410992
174,11.7643260341
175,-0.295122154997
176,-18.6061400505
177,10.6871590181
178,27.132975487800003
179,14.35748217895
180,13.937956895
181,8.6189996864265
182,8.70678560275
183,-4.31863381803
184,30.0827704508
185,10.2184138522
186,62.873109086199996
187,-1.1317564761
188,7.27646699395
189,1.6497764091299998
190,9.20506357229
191,13.9689056993
192,16.07253824436667
193,-0.51804023524
194,42.226299025900005
195,-24.5360397342
196,44.4868968013
197,43.81164538
198,28.953842308600002
199,43.81164538
200,13.460369693199999
201,13.447346553849998
202,20.4300194347
203,3.28720151519
204,37.9244973154
205,16.3826083441
206,14.0663231776
207,-15.82584048015
208,20.4569890461
209,18.60997516369167
210,23.921087889200003
211,-19.7174877247
212,10.371275831808335
213,-14.424731123280955
214,13.9708687127
215,1.6524405382700003
216,13.447346553849998
217,19.0888768077
218,13.7040458822
219,3.76875597255
220,14.83304914524
221,35.6705083452
222,10.690443052300001
223,38.0658663743
224,-18.7848471793
225,24.622898457199998
226,57.0328353866
227,8.6189996864265
228,12.778761468599999
229,12.3700783941
230,12.6488351956
231,14.83304914524
232,36.3400069484
233,2.27802441613
234,40.809950304000004
235,-0.974201493345
236,33.45021206836667
237,18.646749327200002
238,27.132975487800003
239,14.83304914524
240,-1.1231343162
241,4.392798401113333
242,24.697520234000002
243,72.3491719499
244,46.0788894792
245,31.28353823
246,16.122005770533335
247,4.09194113858
248,18.646749327200002
