,treeDecision_regresion_m
0,20.6021191956
1,20.6021191956
2,20.6021191956
3,20.6021191956
4,20.6021191956
5,26.1242146245
6,20.6021191956
7,20.6021191956
8,20.6021191956
9,20.6021191956
10,20.6021191956
11,20.6021191956
12,20.6021191956
13,20.6021191956
14,20.6021191956
15,20.6021191956
16,20.6021191956
17,20.6021191956
18,20.6021191956
19,20.6021191956
20,20.6021191956
21,20.6021191956
22,20.6021191956
23,20.6021191956
24,20.6021191956
25,20.6021191956
26,20.6021191956
27,20.6021191956
28,20.6021191956
29,20.6021191956
30,20.6021191956
31,20.6021191956
32,20.6021191956
33,20.6021191956
34,20.6021191956
35,20.6021191956
36,20.6021191956
37,20.6021191956
38,20.6021191956
39,20.6021191956
40,20.6021191956
41,20.6021191956
42,20.6021191956
43,26.1242146245
44,20.6021191956
45,26.1242146245
46,20.6021191956
47,20.6021191956
48,20.6021191956
49,20.6021191956
50,20.6021191956
51,20.6021191956
52,20.6021191956
53,20.6021191956
54,20.6021191956
55,20.6021191956
56,20.6021191956
57,20.6021191956
58,26.1242146245
59,20.6021191956
60,20.6021191956
61,20.6021191956
62,20.6021191956
63,20.6021191956
64,20.6021191956
65,20.6021191956
66,20.6021191956
67,20.6021191956
68,20.6021191956
69,20.6021191956
70,20.6021191956
71,20.6021191956
72,20.6021191956
73,20.6021191956
74,26.1242146245
75,20.6021191956
76,20.6021191956
77,26.1242146245
78,20.6021191956
79,20.6021191956
80,20.6021191956
81,20.6021191956
82,20.6021191956
83,20.6021191956
84,20.6021191956
85,20.6021191956
86,20.6021191956
87,26.1242146245
88,20.6021191956
89,20.6021191956
90,26.1242146245
91,20.6021191956
92,20.6021191956
93,20.6021191956
94,20.6021191956
95,26.1242146245
96,20.6021191956
97,20.6021191956
98,20.6021191956
99,20.6021191956
100,26.1242146245
101,20.6021191956
102,26.1242146245
103,20.6021191956
104,20.6021191956
105,20.6021191956
106,20.6021191956
107,20.6021191956
108,20.6021191956
109,20.6021191956
110,20.6021191956
111,20.6021191956
112,20.6021191956
113,20.6021191956
114,20.6021191956
115,20.6021191956
116,20.6021191956
117,20.6021191956
118,20.6021191956
119,20.6021191956
120,20.6021191956
121,20.6021191956
122,20.6021191956
123,20.6021191956
124,20.6021191956
125,20.6021191956
126,20.6021191956
127,20.6021191956
128,20.6021191956
129,20.6021191956
130,20.6021191956
131,20.6021191956
132,20.6021191956
133,20.6021191956
134,20.6021191956
135,26.1242146245
136,20.6021191956
137,20.6021191956
138,20.6021191956
139,20.6021191956
140,20.6021191956
141,20.6021191956
142,20.6021191956
143,20.6021191956
144,20.6021191956
145,20.6021191956
146,20.6021191956
147,20.6021191956
148,20.6021191956
149,20.6021191956
150,20.6021191956
151,26.1242146245
152,20.6021191956
153,26.1242146245
154,20.6021191956
155,20.6021191956
156,20.6021191956
157,20.6021191956
158,20.6021191956
159,20.6021191956
160,20.6021191956
161,20.6021191956
162,20.6021191956
163,20.6021191956
164,20.6021191956
165,20.6021191956
166,20.6021191956
167,20.6021191956
168,20.6021191956
169,20.6021191956
170,20.6021191956
171,20.6021191956
172,20.6021191956
173,20.6021191956
174,26.1242146245
175,20.6021191956
176,20.6021191956
177,20.6021191956
178,20.6021191956
179,20.6021191956
180,26.1242146245
181,26.1242146245
182,20.6021191956
183,20.6021191956
184,20.6021191956
185,20.6021191956
186,20.6021191956
187,20.6021191956
188,20.6021191956
189,20.6021191956
190,20.6021191956
191,20.6021191956
192,20.6021191956
193,20.6021191956
194,20.6021191956
195,20.6021191956
196,20.6021191956
197,20.6021191956
198,20.6021191956
199,20.6021191956
200,20.6021191956
201,20.6021191956
202,20.6021191956
203,20.6021191956
204,20.6021191956
205,20.6021191956
206,20.6021191956
207,20.6021191956
208,20.6021191956
209,20.6021191956
210,20.6021191956
211,20.6021191956
212,20.6021191956
213,20.6021191956
214,20.6021191956
215,20.6021191956
216,20.6021191956
217,20.6021191956
218,20.6021191956
219,20.6021191956
220,20.6021191956
221,20.6021191956
222,20.6021191956
223,20.6021191956
224,20.6021191956
225,20.6021191956
226,26.1242146245
227,20.6021191956
228,20.6021191956
229,20.6021191956
230,20.6021191956
231,20.6021191956
232,20.6021191956
233,20.6021191956
234,20.6021191956
235,26.1242146245
236,20.6021191956
237,20.6021191956
238,20.6021191956
239,20.6021191956
240,20.6021191956
241,20.6021191956
242,20.6021191956
243,20.6021191956
244,20.6021191956
245,20.6021191956
246,20.6021191956
247,20.6021191956
248,20.6021191956
249,26.1242146245
250,26.1242146245
251,20.6021191956
252,20.6021191956
253,20.6021191956
254,20.6021191956
255,20.6021191956
256,20.6021191956
257,26.1242146245
258,26.1242146245
259,20.6021191956
260,20.6021191956
261,20.6021191956
262,20.6021191956
263,20.6021191956
264,20.6021191956
265,20.6021191956
266,20.6021191956
267,26.1242146245
268,20.6021191956
269,20.6021191956
270,20.6021191956
271,20.6021191956
272,26.1242146245
273,20.6021191956
274,20.6021191956
275,20.6021191956
276,20.6021191956
277,20.6021191956
278,20.6021191956
279,20.6021191956
280,20.6021191956
281,20.6021191956
282,20.6021191956
283,20.6021191956
284,26.1242146245
285,20.6021191956
286,20.6021191956
287,20.6021191956
288,20.6021191956
289,20.6021191956
290,20.6021191956
291,20.6021191956
292,20.6021191956
293,26.1242146245
294,20.6021191956
295,20.6021191956
296,20.6021191956
297,20.6021191956
298,20.6021191956
299,20.6021191956
